nbwa.org, , , 
ncta.com,  4977,  18008,  102672
nea.org,  173759,  180775,  10670
nfib.com,  52563,  46223,  35405
restaurant.org,  16765,  22537,  67841
phrma.org, , , 
ustelecom.org, , ,  387807
uschamber.org, , , 
fao.org,  259663,  240566,  8229
iaea.org,  3189,  13187,  109289
worldbank.org,  136787,  122063,  15059
icao.int,  773,  15010,  95628
ifad.org, , ,  250514
ilo.org,  829,  31525,  49951
imo.org, , ,  316203
imf.org,  89546,  20229,  74854
itu.int,  5882,  10774,  129456
un.org,  519764,  272443,  7375
unesco.org,  125107,  121089,  15186
unido.org, , , 
upu.int,  703,  13716,  105424
who.int,  387428,  309938,  6495
wmo.int,  12157,  29788,  53942
wto.org,  3085,  10996,  127216
democrats.org,  479852,  338599,  5987
gp.org,  174,  16180,  89728
lp.org,  21426,  22382,  68194
gop.com,  114362,  120436,  15276
teapartypatriots.org,  564648,  235489,  8390
aarp.org,  11624888,  3423880,  434
plannedparenthood.org,  474876,  385978,  5274
peta.org,  814790,  510873,  3942
aclu.org,  414771,  245608,  8075
sierraclub.org,  489268,  305955,  6591
frc.org,  2027244,  194248,  9997
amnestyusa.org,  462078,  208067,  9434
nra.org,  327813,  160181,  11930
greenpeace.org/usa, , , 
adl.org,  82057,  127300,  14559
hrc.org,  60828,  43545,  37300
worldwildlife.org,  46907,  66108,  26001
vfw.org,  239632,  57025,  29498
naacp.org,  68578,  63826,  26833
hrw.org,  58023,  61195,  27822
pfaw.org,  66094,  66348,  25925
commoncause.org,  46507,  65417,  26238
now.org,  21477,  41730,  38726
cc.org,  41075,  48240,  34093
abercrombie.com,  2487542,  852140,  2222
ae.com,  6959738,  2625926,  607
anntaylor.com,  697582,  397902,  5119
anntaylorloft.com,  975417,  448606,  4554
anthropologie.com,  1475289,  321607,  6277
bananarepublic.com,  445086,  292762,  6884
express.com,  734168,  409635,  4987
gap.com,  13140963,  4784698,  272
gymboree.com,  2556446,  609564,  3272
hm.com/us, , , 
jcrew.com,  3497597,  846695,  2244
kohls.com,  20835001,  8053113,  137
macys.com,  15526632,  6116134,  209
nordstrom.com,  6428996,  2378761,  668
oldnavy.com,  4367426,  2446303,  648
piperlime.com,  223284,  170379,  11246
ralphlauren.com,  1384958,  706447,  2773
shopbop.com,  1923904,  309814,  6501
target.com,  37799280,  18357127,  47
tjmaxx.com,  445907,  404321, 
urbanoutfitters.com,  1879852,  590446,  3383
